,CD_OSCAR,DC_NOME,FL_CAPITAL,DT_FIM_OPERACAO,CD_SITUACAO,TP_ESTACAO,VL_LATITUDE,CD_WSI,CD_DISTRITO,VL_ALTITUDE,SG_ESTADO,SG_ENTIDADE,CD_ESTACAO,VL_LONGITUDE,DT_INICIO_OPERACAO
0,0-2000-0-86765,ABROLHOS,N,,Pane,Automatica,-17.96305555,0-76-0-2906907000000408, 04,20.93,BA,INMET,A422,-38.70333333,2008-07-20T21:00:00.000-03:00
1,0-2000-0-81755,ACARAU,N,,Operante,Automatica,-3.1211111,0-76-0-2300200000000446, 03,67.15,CE,INMET,A360,-40.08722221,2009-04-21T21:00:00.000-03:00
2,0-2000-0-86827,AFONSO CLAUDIO,,,Pane,Automatica,-20.10416666,0-76-0-3200102000000478, 06,507.48,ES,INMET,A657,-41.10694444,2011-09-23T21:00:00.000-03:00
3,0-2000-0-86686,AGUA BOA,N,,Operante,Automatica,-14.01638888,0-76-0-5100201000000157, 09,440,MT,INMET,A908,-52.21166666,2006-12-15T21:00:00.000-03:00
4,0-2000-0-86812,AGUA CLARA,N,,Operante,Automatica,-20.44444444,0-76-0-5000203000000463, 07,323.63,MS,INMET,A756,-52.87583332,2010-08-13T21:00:00.000-03:00
5,0-2000-0-86716,AGUAS EMENDADAS,,,Operante,Automatica,-15.596491,0-76-0-5300108000000435, 10,1030.36,DF,INMET,A045,-47.625801,2008-10-02T21:00:00.000-03:00
6,0-2000-0-86722,AGUAS VERMELHAS,N,,Operante,Automatica,-15.75166666,0-76-0-3101003000000252, 05,754.07,MG,INMET,A549,-41.45777777,2007-09-08T21:00:00.000-03:00
7,0-2000-0-86803,AIMORES,N,,Operante,Automatica,-19.53277777,0-76-0-3101102000000239, 05,287.74,MG,INMET,A534,-41.09083333,2007-08-04T21:00:00.000-03:00
8,0-2000-0-86828,ALEGRE,N,,Operante,Automatica,-20.75055555,0-76-0-3200201000000125, 06,138,ES,INMET,A617,-41.48888888,2006-10-24T21:00:00.000-03:00
9,0-2000-0-86975,ALEGRETE,N,,Operante,Automatica,-29.70916666,0-76-0-4300406000000113, 08,120.88,RS,INMET,A826,-55.52555554,2006-09-27T21:00:00.000-03:00
10,0-2000-0-86829,ALFREDO CHAVES,N,,Pane,Automatica,-20.63638888,0-76-0-3200300000000135, 06,14.19,ES,INMET,A615,-40.74194444,2006-11-02T21:00:00.000-03:00
11,0-2000-0-86627,ALMAS,N,,Operante,Automatica,-11.28416666,0-76-0-1700400000000508, 10,503,TO,INMET,A053,-47.21222222,2016-03-31T21:00:00.000-03:00
12,0-2000-0-86743,ALMENARA,N,,Operante,Automatica,-16.16666666,0-76-0-3101706000000034, 05,189.11,MG,INMET,A508,-40.68777777,2002-12-14T22:00:00.000-02:00
13,0-2000-0-81977,ALTA FLORESTA,N,,Operante,Automatica,-10.07722221,0-76-0-5100250000000192, 09,291.85,MT,INMET,A924,-56.17916666,2007-05-22T21:00:00.000-03:00
14,0-2000-0-81738,ALTAMIRA,N,,Operante,Automatica,-3.26999999,0-76-0-1500602000000585, 02,191,PA,INMET,A253,-52.39472221,2018-10-24T21:00:00.000-03:00
15,0-2000-0-86749,ALTO ARAGUAIA,N,,Operante,Automatica,-17.33944444,0-76-0-5100300000000477, 09,753.28,MT,INMET,A909,-53.22444443,2011-09-21T21:00:00.000-03:00
16,0-2000-0-86691,ALTO PARAISO DE GOIAS,N,,Operante,Automatica,-14.13305554,0-76-0-5200605000000208, 10,1264.7,GO,INMET,A024,-47.52333332,2007-06-03T21:00:00.000-03:00
17,0-2000-0-81985,ALTO PARNAIBA,N,,Operante,Automatica,-9.10833333,0-76-0-2100501000000375, 02,283.69,MA,INMET,A223,-45.93194443,2008-06-02T21:00:00.000-03:00
18,0-2000-0-86750,ALTO TAQUARI,,,Operante,Automatica,-17.8411111,0-76-0-5100607000000284, 09,862.42,MT,INMET,A934,-53.28944444,2008-01-28T21:00:00.000-03:00
19,0-2000-0-81846,ALVORADA DO GURGUEIA,N,,Operante,Automatica,-8.37638888,0-76-0-2202307000000274, 03,225,PI,INMET,A336,-43.85944444,2007-11-16T21:00:00.000-03:00
20,0-2000-0-86894,AMAMBAI,,,Operante,Automatica,-23.0025,0-76-0-5000609000000381, 07,433.59,MS,INMET,A750,-55.32944443,2008-06-10T21:00:00.000-03:00
21,0-2000-0-86675,AMARGOSA,,,Operante,Automatica,-13.00944444,0-76-0-2901007000000398, 04,397.8,BA,INMET,A434,-39.61694443,2008-07-10T21:00:00.000-03:00
22,0-2000-0-81867,ANGICAL DO PIAUI,N,,Pane,Automatica,-6.08944444,0-76-0-2200608000000597, 03,183,PI,INMET,A377,-42.72749999,2019-11-13T21:00:00.000-03:00
23,0-2000-0-84817,ANGRA DOS REIS,N,,Operante,Automatica,-22.97555554,0-76-0-3300100000000555, 06,6,RJ,INMET,A628,-44.30333333,2017-08-24T21:00:00.000-03:00
24,0-2000-0-81976,APIACAS,N,,Operante,Automatica,-9.56333333,0-76-0-5100805000000123, 09,217.75,MT,INMET,A910,-57.3936111,2006-10-23T21:00:00.000-03:00
25,0-2000-0-81835,APODI,,,Operante,Automatica,-5.62666666,0-76-0-2401008000000272, 03,131.41,RN,INMET,A340,-37.815,2007-11-13T21:00:00.000-03:00
26,0-2000-0-81893,APUI,,,Operante,Automatica,-7.20555555,0-76-0-1300144000000406, 01,156.97,AM,INMET,A113,-59.8886111,2008-07-18T21:00:00.000-03:00
27,0-2000-0-86808,AQUIDAUANA,N,,Operante,Automatica,-20.47555554,0-76-0-5001102000000132, 07,151.35,MS,INMET,A719,-55.78388888,2006-10-31T21:00:00.000-03:00
28,0-2000-0-86616,ARACAJU,N,,Operante,Automatica,-10.9525,0-76-0-2800308000000055, 04,3.72,SE,INMET,A409,-37.05444444,2003-02-11T22:00:00.000-02:00
29,0-2000-0-86746,ARACUAI,N,,Operante,Automatica,-16.84888888,0-76-0-3103405000000548, 05,308,MG,INMET,A566,-42.03527777,2017-05-18T21:00:00.000-03:00
30,0-2000-0-86709,ARAGARCAS,N,,Operante,Automatica,-15.90277777,0-76-0-5201702000000229, 10,327.35,GO,INMET,A013,-52.24527777,2007-07-12T21:00:00.000-03:00
31,0-2000-0-86648,ARAGUACU,N,,Pane,Automatica,-12.59222221,0-76-0-1702000000000502, 10,231,TO,INMET,A054,-49.5286111,2015-08-18T21:00:00.000-03:00
