,CD_OSCAR,DC_NOME,FL_CAPITAL,DT_FIM_OPERACAO,CD_SITUACAO,TP_ESTACAO,VL_LATITUDE,CD_WSI,CD_DISTRITO,VL_ALTITUDE,SG_ESTADO,SG_ENTIDADE,CD_ESTACAO,VL_LONGITUDE,DT_INICIO_OPERACAO
0,0-2000-0-82989,AGUA BRANCA,N,,Operante,Convencional,-9.26472222,0-76-0-2700102000W82989, 03,603.42,AL,INMET,82989,-37.93805555,1928-05-04T21:00:00.000-03:00
1,0-2000-0-82353,ALTAMIRA,N,,Operante,Convencional,-3.21416666,0-76-0-1500602000W82353, 02,101.51,PA,INMET,82353,-52.21305555,1927-04-23T21:00:00.000-03:00
2,0-2000-0-83007,ALTO DA BOA VISTA,N,,Operante,Convencional,-22.96583333,0-76-0-3304557000W83007, 06,347.1,RJ,INMET,83007,-43.27916666,1966-05-31T21:00:00.000-03:00
3,0-2000-0-82590,APODI,N,,Operante,Convencional,-5.62666666,0-76-0-2401008000W82590, 03,131.37,RN,INMET,82590,-37.815,1962-12-17T21:00:00.000-03:00
4,0-2000-0-83442,ARACUAI,N,,Operante,Convencional,-16.84888888,0-76-0-3103405000W83442, 05,317.67,MG,INMET,83442,-42.06083333,1918-09-05T21:00:00.000-03:00
5,0-2000-0-83368,ARAGARCAS,N,,Operante,Convencional,-15.9025,0-76-0-5201702000W83368, 10,327.03,GO,INMET,83368,-52.24527777,1970-07-18T21:00:00.000-03:00
6,0-2000-0-82659,ARAGUAINA,N,,Operante,Convencional,-7.10388888,0-76-0-1702109000W82659, 10,231.85,TO,INMET,82659,-48.20138888,1984-08-20T21:00:00.000-03:00
7,0-2000-0-83579,ARAXA,N,,Operante,Convencional,-19.60555555,0-76-0-3104007000W83579, 05,1018.28,MG,INMET,83579,-46.94972221,1916-09-06T21:00:00.000-03:00
8,0-2000-0-82890,ARCO VERDE,N,,Operante,Convencional,-8.4336111,0-76-0-2601201000W82890, 03,683.91,PE,INMET,82890,-37.05527777,1973-01-31T21:00:00.000-03:00
9,0-2000-0-82696,AREIA,N,,Operante,Convencional,-6.97555554,0-76-0-2501104000W82696, 03,571.75,PB,INMET,82696,-35.71805554,1928-12-31T21:00:00.000-03:00
10,0-2000-0-83384,ARINOS,N,,Operante,Convencional,-15.91527777,0-76-0-3104502000W83384, 05,523,MG,INMET,83384,-46.10722222,1976-04-04T21:00:00.000-03:00
11,0-2000-0-82460,BACABAL,N,,Operante,Convencional,-4.21805554,0-76-0-2101202000W82460, 02,26.6,MA,INMET,82460,-44.77583332,1976-08-14T21:00:00.000-03:00
12,0-2000-0-83980,BAGE,N,,Operante,Convencional,-31.30555555,0-76-0-4301602000W83980, 08,245.66,RS,INMET,83980,-54.11944443,1911-12-31T21:25:56.000-02:34
13,0-2000-0-82768,BALSAS,N,,Operante,Convencional,-7.52944443,0-76-0-2101400000W82768, 02,263.48,MA,INMET,82768,-46.04638888,1976-08-13T21:00:00.000-03:00
14,0-2000-0-83179,BARRA,N,,Operante,Convencional,-11.084858,0-76-0-2902708000W83179, 04,407.5,BA,INMET,83179,-43.138998,1925-03-02T21:00:00.000-03:00
15,0-2000-0-82571,BARRA DO CORDA,N,,Operante,Convencional,-5.50638888,0-76-0-2101608000W82571, 02,154.17,MA,INMET,82571,-45.23722221,1912-01-13T21:25:56.000-02:34
16,0-2000-0-83236,BARREIRAS,N,,Operante,Convencional,-12.15583333,0-76-0-2903201000W83236, 04,447.51,BA,INMET,83236,-45.00833333,1923-12-31T21:00:00.000-03:00
17,0-2000-0-82191,BELEM,S,,Operante,Convencional,-1.43583333,0-76-0-1501402000W82191, 02,7.13,PA,INMET,82191,-48.43722221,1923-10-31T21:00:00.000-03:00
18,0-2000-0-83587,BELO HORIZONTE,S,,Operante,Convencional,-19.93444444,0-76-0-3106200000W83587, 05,915.47,MG,INMET,83587,-43.95222222,1910-03-02T21:25:56.000-02:34
19,0-2000-0-82246,BELTERRA,N,,Operante,Convencional,-2.64222221,0-76-0-1501451000W82246, 02,164.3,PA,INMET,82246,-54.94388888,1971-07-31T21:00:00.000-03:00
20,0-2000-0-82410,BENJAMIN CONSTANT,N,,Operante,Convencional,-4.3786111,0-76-0-1300607000W82410, 01,78.41,AM,INMET,82410,-70.02999999,1923-12-31T21:00:00.000-03:00
21,0-2000-0-82024,BOA VISTA,S,,Operante,Convencional,2.82944443,0-76-0-1400100000W82024, 01,84.18,RR,INMET,82024,-60.66194444,1923-01-01T21:00:00.000-03:00
